State,County,Adults,Seniors,SchoolAge,PreSchoolers,Infants,Housing - Rent,Housing - Utilities,Child Care,Food,Transportation,Health Care,Technology,Miscellaneous,Tax Payments,Tax Credits,Monthly Total,ANNUAL TOTAL,Hourly Wage
Indiana,Marion,0,1,0,0,0,$585,$163,$0,$392,$334,$542,$86,$210,$434,$0,"$2,746","$32,952",$16.48
Indiana,Marion,0,1,0,0,1,$606,$258,$650,$597,$467,$732,$86,$340,$888,($217),"$4,407","$52,884",$26.44
Indiana,Marion,0,1,0,0,2,$751,$287,"$1,300",$796,$692,$978,$86,$489,"$1,367",($433),"$6,313","$75,756",$37.88
Indiana,Marion,0,1,0,0,3,$728,$310,"$1,950",$974,$848,"$1,177",$86,$607,"$1,821",($600),"$7,901","$94,812",$47.41
Indiana,Marion,0,1,0,0,4,"$1,020",$340,"$2,600","$1,130","$1,004","$1,220",$86,$740,"$2,346",($767),"$9,719","$116,628",$58.31
Indiana,Marion,0,1,0,0,5,"$1,020",$340,"$3,250","$1,334","$1,161","$1,262",$86,$845,"$2,774",($933),"$11,139","$133,668",$66.83
Indiana,Marion,0,1,0,0,6,"$1,269",$340,"$3,900","$1,459","$1,317","$1,304",$86,$968,"$3,270","($1,100)","$12,813","$153,756",$76.88
Indiana,Marion,0,1,0,1,0,$606,$258,$596,$617,$467,$732,$86,$336,$878,($217),"$4,359","$52,308",$26.15
Indiana,Marion,0,1,0,1,1,$751,$287,"$1,246",$815,$692,$978,$86,$486,"$1,354",($433),"$6,262","$75,144",$37.57
Indiana,Marion,0,1,0,1,2,$728,$310,"$1,896",$992,$848,"$1,177",$86,$604,"$1,808",($600),"$7,849","$94,188",$47.09
Indiana,Marion,0,1,0,1,3,"$1,020",$340,"$2,546","$1,147","$1,004","$1,220",$86,$736,"$2,332",($767),"$9,664","$115,968",$57.98
Indiana,Marion,0,1,0,1,4,"$1,020",$340,"$3,196","$1,352","$1,161","$1,262",$86,$842,"$2,759",($933),"$11,085","$133,020",$66.51
Indiana,Marion,0,1,0,1,5,"$1,269",$340,"$3,846","$1,475","$1,317","$1,304",$86,$964,"$3,255","($1,100)","$12,756","$153,072",$76.54
Indiana,Marion,0,1,0,2,0,$751,$287,"$1,192",$834,$692,$978,$86,$482,"$1,340",($433),"$6,209","$74,508",$37.25
Indiana,Marion,0,1,0,2,1,$728,$310,"$1,842","$1,010",$848,"$1,177",$86,$600,"$1,794",($600),"$7,795","$93,540",$46.77
Indiana,Marion,0,1,0,2,2,"$1,020",$340,"$2,492","$1,164","$1,004","$1,220",$86,$733,"$2,317",($767),"$9,609","$115,308",$57.65
Indiana,Marion,0,1,0,2,3,"$1,020",$340,"$3,142","$1,369","$1,161","$1,262",$86,$838,"$2,744",($933),"$11,029","$132,348",$66.17
Indiana,Marion,0,1,0,2,4,"$1,269",$340,"$3,792","$1,491","$1,317","$1,304",$86,$960,"$3,239","($1,100)","$12,698","$152,376",$76.19
Indiana,Marion,0,1,0,3,0,$728,$310,"$1,788","$1,028",$848,"$1,177",$86,$597,"$1,780",($600),"$7,742","$92,904",$46.45
Indiana,Marion,0,1,0,3,1,"$1,020",$340,"$2,438","$1,181","$1,004","$1,220",$86,$729,"$2,301",($767),"$9,552","$114,624",$57.31
Indiana,Marion,0,1,0,3,2,"$1,020",$340,"$3,088","$1,386","$1,161","$1,262",$86,$834,"$2,729",($933),"$10,973","$131,676",$65.84
Indiana,Marion,0,1,0,3,3,"$1,269",$340,"$3,738","$1,507","$1,317","$1,304",$86,$956,"$3,224","($1,100)","$12,641","$151,692",$75.85
Indiana,Marion,0,1,0,4,0,"$1,020",$340,"$2,383","$1,199","$1,004","$1,220",$86,$725,"$2,287",($767),"$9,497","$113,964",$56.98
Indiana,Marion,0,1,0,4,1,"$1,020",$340,"$3,033","$1,403","$1,161","$1,262",$86,$831,"$2,714",($933),"$10,917","$131,004",$65.50
Indiana,Marion,0,1,0,4,2,"$1,269",$340,"$3,683","$1,524","$1,317","$1,304",$86,$952,"$3,208","($1,100)","$12,583","$150,996",$75.50
Indiana,Marion,0,1,0,5,0,"$1,020",$340,"$2,979","$1,421","$1,161","$1,262",$86,$827,"$2,699",($933),"$10,862","$130,344",$65.17
Indiana,Marion,0,1,0,5,1,"$1,269",$340,"$3,629","$1,540","$1,317","$1,304",$86,$949,"$3,193","($1,100)","$12,527","$150,324",$75.16
Indiana,Marion,0,1,0,6,0,"$1,269",$340,"$3,575","$1,556","$1,317","$1,304",$86,$945,"$3,178","($1,100)","$12,470","$149,640",$74.82
Indiana,Marion,0,1,1,0,0,$606,$258,$223,$691,$467,$732,$86,$306,$797,($211),"$3,955","$47,460",$23.73
Indiana,Marion,0,1,1,0,1,$751,$287,$873,$886,$692,$978,$86,$455,"$1,238",($433),"$5,813","$69,756",$34.88
Indiana,Marion,0,1,1,0,2,$728,$310,"$1,523","$1,059",$848,"$1,177",$86,$573,"$1,691",($600),"$7,395","$88,740",$44.37
Indiana,Marion,0,1,1,0,3,"$1,020",$340,"$2,173","$1,211","$1,004","$1,220",$86,$705,"$2,206",($767),"$9,198","$110,376",$55.19
Indiana,Marion,0,1,1,0,4,"$1,020",$340,"$2,823","$1,416","$1,161","$1,262",$86,$811,"$2,634",($933),"$10,620","$127,440",$63.72
Indiana,Marion,0,1,1,0,5,"$1,269",$340,"$3,473","$1,536","$1,317","$1,304",$86,$933,"$3,128","($1,100)","$12,286","$147,432",$73.72
Indiana,Marion,0,1,1,1,0,$751,$287,$819,$905,$692,$978,$86,$452,"$1,224",($433),"$5,761","$69,132",$34.57
Indiana,Marion,0,1,1,1,1,$728,$310,"$1,469","$1,077",$848,"$1,177",$86,$570,"$1,677",($600),"$7,342","$88,104",$44.05
Indiana,Marion,0,1,1,1,2,"$1,020",$340,"$2,119","$1,228","$1,004","$1,220",$86,$702,"$2,192",($767),"$9,144","$109,728",$54.86
